,sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,label
0,1.0,0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15,14
1,1.0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,6
2,1.0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,8
3,1.0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,9
4,2.0,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,6
5,2.0,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,7
6,1.0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,19
7,1.0,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,15
8,1.0,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,8
9,1.0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,18
10,1.0,0.525,0.38,0.14,0.6065,0.19399999999999998,0.1475,0.21,13
11,1.0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,9
12,1.0,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,10
13,1.0,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,9
14,1.0,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,9
15,1.0,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,11
16,2.0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,6
17,1.0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,9
18,1.0,0.365,0.295,0.08,0.2555,0.09699999999999999,0.043,0.1,6
19,1.0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,8
20,1.0,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,10
21,2.0,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,9
22,1.0,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,11
23,1.0,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,8
24,1.0,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,9
25,1.0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,10
